altitude_m,ax,ay,az,bax_true,bay_true,baz_true,beacon_id,beacon_x,beacon_y,beacon_z,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,range_m,sensor,time_s,valid,vx,vy,vz,x,y,z
,0.08435220041495346,0.3189877479975533,0.06336231612872131,0.035664805151283695,-0.024286117120760252,0.020367268926087263,,,,,,0.0034061207172608175,0.00042806921964505925,0.02308068020356229,0.0,0.0,inertial,,3.2,,imu,3.2,1.0,,,,,,
,0.026041583194097433,0.2764821320947792,0.07079117848882455,0.035749809549625526,-0.024341320806676274,0.020285516368161775,,,,,,-0.0008312029456414693,-0.0028536177505337794,0.02872516722549097,0.0,0.0,inertial,,3.2666666667,,imu,3.2666666667,1.0,,,,,,
,0.05090310786472114,0.3583193552896534,0.03439694435835987,0.03594394314309092,-0.02446426200728231,0.02017404935037842,,,,,,-0.002547493007505694,0.0019250969862324124,0.027468361306161784,0.0,0.0,inertial,,3.3333333333,,imu,3.3333333333,1.0,,,,,,
86.46605436203784,,,,,,,,,,,0.021541599764133404,,,,0.0,0.0,altitude,,3.3333333333,,barometer,3.3333333333,1.0,,,,,,
,0.11968684796347476,0.22273279777928723,0.02081159938828716,0.03598274110555388,-0.02438734217243817,0.020287263740005883,,,,,,0.0030608617299367987,-0.0015244286984264547,0.025460620049230036,0.0,0.0,inertial,,3.4,,imu,3.4,1.0,,,,,,
,0.062413430779266435,0.3712685761901935,0.003489432390617865,0.03609307527961229,-0.02438220324525901,0.020340507004558205,,,,,,0.00035384309273908427,0.0015291452556246174,0.02799135995421942,0.0,0.0,inertial,,3.4666666667,,imu,3.4666666667,1.0,,,,,,
,0.018203106769280157,0.3286189334029469,-0.047276673607275305,0.03584957365716276,-0.024432516330383774,0.020141255781517046,,,,,,-0.001084853292216392,0.0005354998070758114,0.02682383266156404,0.0,0.0,inertial,,3.5333333333,,imu,3.5333333333,1.0,,,,,,
,0.06403665842008285,0.2875752447494755,-0.012461939947914585,0.035904989777795764,-0.02420008920547473,0.02021354565357963,,,,,,-0.002118760799842094,-0.0035295948127130753,0.026223204993002385,0.0,0.0,inertial,,3.6,,imu,3.6,1.0,,,,,,
,0.13224314756106165,0.3307188450613594,0.06052985333541373,0.03619497254930707,-0.024385708807705516,0.020136263315198386,,,,,,-0.0005742239580173098,0.004426404418991474,0.03217381024687763,0.0,0.0,inertial,,3.6666666667,,imu,3.6666666667,1.0,,,,,,
84.56052487290859,,,,,,,,,,,0.02014988521048951,,,,0.0,0.0,altitude,,3.6666666667,,barometer,3.6666666667,1.0,,,,,,
