accepted,adaptive_measurement_scale,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,0.9421848557438913,55.0,3.580385509774259,4.0,0.9918725684143225,0.8155909237856207,0.03990694136216666,0.3699245908634339,0.8964515167346444,0.0,0.0,gps_range_bearing_altitude,0.0,4.0
1.0,0.9421848557438913,55.0,0.9550361949020416,4.0,0.006720073435790393,0.07829009872240533,,,0.07829009872240533,0.0,0.0,barometer_altitude,0.0,4.0
1.0,0.9421848557438913,55.0,1.465854256605488,4.0,0.12611787065298832,-0.5205699649978044,,,0.5205699649978044,0.0,0.0,range_beacon,0.0,4.0
1.0,0.9421848557438913,55.0,1.2532297232583445,4.0,0.01264570354902837,0.14092958884239692,,,0.14092958884239692,0.0,0.0,range_beacon,0.0,4.0
1.0,0.9421848557438913,55.0,1.5109105389798894,4.0,3.2470212355790973,2.7225841695504864,,,2.7225841695504864,0.0,0.0,range_beacon,0.0,4.0
1.0,0.9421848557438913,55.0,0.9551617392862317,4.3333333333,0.10448499637094787,-0.30874780852077777,,,0.30874780852077777,0.0,0.0,barometer_altitude,0.0,4.3333333333
1.0,0.9421848557438913,55.0,0.9527805534579291,4.6666666667,1.0228825047909673,0.9636198991251064,,,0.9636198991251064,0.0,0.0,barometer_altitude,0.0,4.6666666667
1.0,0.9421848557438913,55.0,3.557270847417041,5.0,2.8925501870748285,1.3303617843063478,0.055624773063162714,1.0337042109114805,1.6856752321183415,0.0,0.0,gps_range_bearing_altitude,0.0,5.0
1.0,0.9421848557438913,55.0,0.9351810270310075,5.0,0.6772351139392961,-0.7696006416830699,,,0.7696006416830699,0.0,0.0,barometer_altitude,0.0,5.0
1.0,0.9421848557438913,55.0,1.4402373998105864,5.0,3.048989607550194,-2.514849826763495,,,2.514849826763495,0.0,0.0,range_beacon,0.0,5.0
1.0,0.9421848557438913,55.0,1.255690516875107,5.0,0.579199795252265,0.9556454893115642,,,0.9556454893115642,0.0,0.0,range_beacon,0.0,5.0
1.0,0.9421848557438913,55.0,1.4644843066127298,5.0,0.21432798249982016,-0.6779913610037909,,,0.6779913610037909,0.0,0.0,range_beacon,0.0,5.0
1.0,0.9421848557438913,55.0,0.9331854751223344,5.3333333333,0.18449083798853297,0.4008255269618246,,,0.4008255269618246,0.0,0.0,barometer_altitude,0.0,5.3333333333
1.0,0.9421848557438913,55.0,0.9279637543103283,5.6666666667,0.549751990838659,-0.6880411588594768,,,0.6880411588594768,0.0,0.0,barometer_altitude,0.0,5.6666666667
1.0,0.9421848557438913,55.0,3.5383618726010533,6.0,2.739306616451346,-3.980143070107644,0.009343161479701045,-1.2214082942077624,4.163347736419798,0.0,0.0,gps_range_bearing_altitude,0.0,6.0
1.0,0.9421848557438913,55.0,0.9112744076174805,6.0,0.24813549943986726,0.4539349523767413,,,0.4539349523767413,0.0,0.0,barometer_altitude,0.0,6.0
1.0,0.9421848557438913,55.0,1.4188407882734646,6.0,0.1799134740510309,-0.6018184665344961,,,0.6018184665344961,0.0,0.0,range_beacon,0.0,6.0
1.0,0.9421848557438913,55.0,1.2639772398423748,6.0,0.007828130149043856,0.11183256152939691,,,0.11183256152939691,0.0,0.0,range_beacon,0.0,6.0
1.0,0.9421848557438913,55.0,1.4085896606353157,6.0,7.182907836284591,-3.7751537457816937,,,3.7751537457816937,0.0,0.0,range_beacon,0.0,6.0
1.0,0.9421848557438913,55.0,0.9071833388377712,6.3333333333,0.2656679067749907,-0.46758935158253223,,,0.46758935158253223,0.0,0.0,barometer_altitude,0.0,6.3333333333
1.0,0.9421848557438913,55.0,0.9015240156155117,6.6666666667,1.1266082202200978,-0.9568938386265415,,,0.9568938386265415,0.0,0.0,barometer_altitude,0.0,6.6666666667
1.0,0.9421848557438913,55.0,3.516182003198778,7.0,4.376822512409408,-2.560733599157402,-0.05009082546847354,0.06667282084754333,2.562091122831017,0.0,0.0,gps_range_bearing_altitude,0.0,7.0
1.0,0.9421848557438913,55.0,0.8878813282729244,7.0,6.446202983124093,2.2542750869850323,,,2.2542750869850323,0.0,0.0,barometer_altitude,0.0,7.0
1.0,0.9421848557438913,55.0,1.3901583995475864,7.0,0.5269931036056602,-1.0091756291663643,,,1.0091756291663643,0.0,0.0,range_beacon,0.0,7.0
1.0,0.9421848557438913,55.0,1.2654452707060302,7.0,0.09226202334346521,-0.38437475331399185,,,0.38437475331399185,0.0,0.0,range_beacon,0.0,7.0
