accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_norm,sensor_is_dropout,sensor_is_outlier,source,sqrt_condition,stale_s,time_s
1.0,55.0,0.8153431924351433,9.0,11.180899177182942,2.7263324648486957,,,,,,2.7263324648486957,0.0,0.0,barometer_altitude,45.56522671694635,0.0,9.0
0.0,0.0,0.0,9.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,9.0
0.0,0.0,0.0,9.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,9.0
0.0,0.0,0.0,9.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,9.0
1.0,55.0,0.8185966575946682,9.3333333333,0.5152975747819775,-0.5876233115155713,,,,,,0.5876233115155713,0.0,0.0,barometer_altitude,48.001704386491355,0.0,9.3333333333
1.0,55.0,0.8217907301998837,9.6666666667,0.0006252814557058232,0.020549393688114037,,,,,,0.020549393688114037,0.0,0.0,barometer_altitude,50.70281924603012,0.0,9.6666666667
1.0,55.0,4.418969934128841,10.0,1.5679026583617155,-1.6500138810700946,-2.112673044076896,1.6181180762670522,-0.07863293818329709,-0.04272573693016657,0.05114775057190871,3.132868338693385,0.0,0.0,gps_position_velocity,47.83279728351304,0.0,10.0
1.0,55.0,0.8139654841297815,10.0,0.004770105988833718,0.056217302607322495,,,,,,0.056217302607322495,0.0,0.0,barometer_altitude,47.83280041517852,0.0,10.0
0.0,0.0,0.0,10.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,10.0
0.0,0.0,0.0,10.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,10.0
0.0,0.0,0.0,10.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,10.0
1.0,55.0,0.8167336821010838,10.3333333333,2.5990533264972773,-1.3167037165530928,,,,,,1.3167037165530928,0.0,0.0,barometer_altitude,50.281678640322575,0.0,10.3333333333
1.0,55.0,0.8194363505237265,10.6666666667,1.3450120484449655,-0.9503384762985974,,,,,,0.9503384762985974,0.0,0.0,barometer_altitude,52.99422181140974,0.0,10.6666666667
1.0,55.0,4.409827912550837,11.0,4.922665266066418,0.9461314155967671,0.836183079911887,1.0238564303797517,-0.14575883172136805,0.5342908413786773,0.4319075696039053,1.7708487449884318,0.0,0.0,gps_position_velocity,49.9860765507591,0.0,11.0
1.0,55.0,0.8125705194133347,11.0,7.64394514707333,-2.2465694184951843,,,,,,2.2465694184951843,0.0,0.0,barometer_altitude,49.98607798345294,0.0,11.0
0.0,0.0,0.0,11.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,11.0
0.0,0.0,0.0,11.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,11.0
0.0,0.0,0.0,11.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,11.0
1.0,55.0,0.8149615354628176,11.3333333333,0.17815468942835525,0.3439820184976554,,,,,,0.3439820184976554,0.0,0.0,barometer_altitude,52.46225003788521,0.0,11.3333333333
1.0,55.0,0.8172956590411893,11.6666666667,0.18214825397784623,0.34881222583967997,,,,,,0.34881222583967997,0.0,0.0,barometer_altitude,55.197254673027395,0.0,11.6666666667
1.0,55.0,0.8195918877886161,12.0,1.7925351371151237,1.0973154395012017,,,,,,1.0973154395012017,0.0,0.0,barometer_altitude,58.212526198949085,0.0,12.0
0.0,0.0,0.0,12.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,12.0
0.0,0.0,0.0,12.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,12.0
0.0,0.0,0.0,12.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,12.0
1.0,55.0,0.822085527131929,12.3333333333,4.957491169766188,1.830408303034588,,,,,,1.830408303034588,0.0,0.0,barometer_altitude,61.5347160424997,0.0,12.3333333333
1.0,55.0,0.8242686384582381,12.6666666667,0.03166972621580612,0.1466867649543957,,,,,,0.1466867649543957,0.0,0.0,barometer_altitude,65.1855990474758,0.0,12.6666666667
1.0,55.0,0.8261139906417078,13.0,1.9158761689743469,-1.1434671562688976,,,,,,1.1434671562688976,0.0,0.0,barometer_altitude,69.17992419591437,0.0,13.0
0.0,0.0,0.0,13.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,13.0
0.0,0.0,0.0,13.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,13.0
0.0,0.0,0.0,13.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,13.0
1.0,55.0,0.8276158408300778,13.3333333333,7.10828883229731,2.2065375765864417,,,,,,2.2065375765864417,0.0,0.0,barometer_altitude,73.53054222388158,0.0,13.3333333333
1.0,55.0,0.8287862234451985,13.6666666667,0.6720372994905899,0.6794213850949831,,,,,,0.6794213850949831,0.0,0.0,barometer_altitude,78.24859328002762,0.0,13.6666666667
1.0,55.0,0.8296502121635566,14.0,7.845406184568857,2.323821392133894,,,,,,2.323821392133894,0.0,0.0,barometer_altitude,83.34374396220217,0.0,14.0
