altitude_m,ax,ay,az,bax_true,bay_true,baz_true,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,sensor,time_s,valid,vx,vy,vz,x,y,z
,0.3312508763383457,0.2647393901668497,-0.04562280738688912,0.03299532734552224,-0.030557300196598833,0.015581242242079522,,-0.0009701238777881896,0.0024974736125251283,0.009236142922934763,0.0,0.0,inertial,,32.2,imu,32.2,1.0,,,,,,
127.18008967264161,,,,,,,0.009884006729862697,,,,0.0,0.0,altitude,,32.2,barometer,32.2,1.0,,,,,,
,0.3942609918188288,0.2226197641850347,-0.10144840342372721,0.03302022761244708,-0.030537779887154077,0.0156450816223014,,-0.0011606524163900744,-0.0006343806163478058,0.012305204403185905,0.0,0.0,inertial,,32.25,imu,32.25,1.0,,,,,,
,0.42059129918644594,0.2396944730097195,-0.19149101601557017,0.03287407486766976,-0.030502943385861722,0.015688139579617167,,0.0008577487360971713,-0.003926560607907838,0.01401565254639446,0.0,0.0,inertial,,32.3,imu,32.3,1.0,,,,,,
,0.3703571523239287,0.11944763142433082,-0.1607770024769494,0.03264904927595053,-0.030545448885829548,0.015611660437734265,,5.775419202900207e-06,0.002618095389662577,0.011931077933620558,0.0,0.0,inertial,,32.35,imu,32.35,1.0,,,,,,
,0.37216716353531665,0.2399925420847923,-0.17147389332206184,0.032683498230088225,-0.03046874493138522,0.015449158044899585,,0.00231304266005423,0.0003233812193529428,0.012153733860016733,0.0,0.0,inertial,,32.4,imu,32.4,1.0,,,,,,
125.75510424773636,,,,,,,0.011975468759149278,,,,0.0,0.0,altitude,,32.4,barometer,32.4,1.0,,,,,,
,0.36181163922296805,0.21246349126538375,-0.20527948349801753,0.03266090457428729,-0.030254955197843214,0.015518215394628982,,7.526126156016858e-05,0.0007235385204505469,0.00858408863539715,0.0,0.0,inertial,,32.45,imu,32.45,1.0,,,,,,
,0.38367808829526107,0.23044630275985975,-0.1872039392489566,0.03255547088308107,-0.03007156826573468,0.0158711532649485,,0.00030380529814461293,0.00238185588125413,0.012109007578587794,0.0,0.0,inertial,,32.5,imu,32.5,1.0,,,,,,
,0.3984304720683661,0.17550019007745596,-0.1579282257941674,0.032616990148631016,-0.030317937148877802,0.01585508307670743,,0.003182023202700152,-0.0007016986414318864,0.010013282164588955,0.0,0.0,inertial,,32.55,imu,32.55,1.0,,,,,,
,0.4541710024266831,0.19145666835618427,-0.14634243837260438,0.0324152529925369,-0.03017762876799628,0.016185315818743273,,-0.0008517844261247708,-0.0005622025486183988,0.013572992040592828,0.0,0.0,inertial,,32.6,imu,32.6,1.0,,,,,,
127.76251249265528,,,,,,,0.012706039714329034,,,,0.0,0.0,altitude,,32.6,barometer,32.6,1.0,,,,,,
,0.42057104363397446,0.22592617535988013,-0.10495560567602971,0.03230366511372993,-0.030241546521914187,0.016056407178832926,,0.0006533768924967025,-6.704458497571335e-05,0.0075975521104255945,0.0,0.0,inertial,,32.65,imu,32.65,1.0,,,,,,
,0.4552586316199242,0.21326882927337923,-0.10392244089824332,0.03233410199991016,-0.030478459209818662,0.01610444682292466,,0.0021456987952318076,0.0027728807380874685,0.01196030044932654,0.0,0.0,inertial,,32.7,imu,32.7,1.0,,,,,,
,0.5071071567745425,0.28735904751497804,-0.26862800171067497,0.03260326060989484,-0.030702163890425325,0.01576063154007531,,0.0003243793395503979,0.0004681143277024167,0.013895146857593502,0.0,0.0,inertial,,32.75,imu,32.75,1.0,,,,,,
,0.41706644054368025,0.20179629584011582,-0.13870379893604937,0.03243334367902534,-0.03070803818768002,0.015874149041870456,,-0.002227230903215169,-0.0003092440541247415,0.014667168994766548,0.0,0.0,inertial,,32.8,imu,32.8,1.0,,,,,,
127.57898491931574,,,,,,,0.013048302790460153,,,,0.0,0.0,altitude,,32.8,barometer,32.8,1.0,,,,,,
,0.4806234877001474,0.3006498879231007,-0.18077834264079645,0.032494197149884135,-0.030870030737182263,0.01585310615976843,,0.0011278223241455428,0.0009386051178217745,0.014920265052566625,0.0,0.0,inertial,,32.85,imu,32.85,1.0,,,,,,
,0.43763600831458055,0.20141670987718963,-0.17045894107208281,0.032578599587325126,-0.03084300664698888,0.015542144828023925,,0.0019177483904069545,0.000718675616458816,0.015365830487780664,0.0,0.0,inertial,,32.9,imu,32.9,1.0,,,,,,
,0.36176616343167833,0.2341480463102199,-0.09611066280492968,0.03244529440518888,-0.030743800591267023,0.015622300946714506,,-0.001155841737146592,0.00045455507643140573,0.013801924557222237,0.0,0.0,inertial,,32.95,imu,32.95,1.0,,,,,,
