accepted,nis,residual_norm,source,time_s
1.0,2.461202294314238,0.7400629186207226,baro,31.2
1.0,0.22347462507529764,0.22299435238991805,baro,31.4
1.0,0.054094304113476495,0.10970856005201313,baro,31.6
1.0,0.6945459889069218,0.39309767218070135,baro,31.8
1.0,0.6616836775736731,0.38367247260879367,baro,32.0
1.0,0.01869639426901954,0.0644911417493006,baro,32.2
1.0,0.6134197727320084,0.3693907173097273,baro,32.4
1.0,6.541935185650072,1.2062752501123128,baro,32.6
1.0,2.0836023666550947,0.6807492612681898,baro,32.8
1.0,1.7657506420254698,0.6266588186324498,baro,33.0
1.0,1.0406163457560602,0.4810594540711719,baro,33.2
1.0,1.8887680751891147,0.648082004043161,baro,33.4
1.0,3.254543012739344,0.850693498060977,baro,33.6
1.0,0.018711945232771195,0.06450231157619157,baro,33.8
1.0,5.49958335212558,1.1057797914185556,baro,34.0
1.0,2.303175367506144,0.7155754600692177,baro,34.2
1.0,0.2681480976254809,0.2441561717225511,baro,34.4
1.0,5.082339808767795,1.0629206247964333,baro,34.6
1.0,0.5608746192138165,0.3530943250630969,baro,34.8
1.0,7.069793264818969,1.2535748652187664,baro,35.0
1.0,0.12229542568606334,0.1648698755279412,baro,35.2
1.0,2.8593310138366923,0.7971827829243239,baro,35.4
1.0,0.08292738347390066,0.13575766604192552,baro,35.6
1.0,3.1535364105304367,0.8371517479143762,baro,35.8
1.0,3.6497229207851998,0.9005861854186321,baro,36.0
1.0,12.795267108975128,13.157124754611184,gps_range_bearing,36.05
1.0,0.2748588613440881,1.2708514078227715,gps_range_bearing,36.1
1.0,2.039055925236491,1.7462418753832198,gps_range_bearing,36.15
1.0,2.483871007383509,3.866794223925719,gps_range_bearing,36.2
1.0,3.1090211212360193,0.8307404511003966,baro,36.2
1.0,0.170831222613422,0.5056004917186022,gps_range_bearing,36.25
1.0,0.5420836522236216,0.6408945235993979,gps_range_bearing,36.3
1.0,2.537648333511709,3.1155044768869584,gps_range_bearing,36.35
1.0,1.6140563183065766,3.2257516243439754,gps_range_bearing,36.4
1.0,0.6959884977291317,0.3928611282446184,baro,36.4
1.0,5.882841784653623,5.752571135375166,gps_range_bearing,36.45
1.0,0.0010849126784432698,0.015510007797658432,baro,36.6
1.0,1.342231862790856,0.5455842921125935,baro,36.8
1.0,0.02106776380581477,0.3440206786040764,gps_range_bearing,37.0
1.0,2.185685978910648,0.6961692092351939,baro,37.0
1.0,1.4510619565394047,0.5672800500578035,baro,37.2
1.0,0.5200867902349294,0.33964352006429976,baro,37.4
1.0,0.2242904841230426,0.22305863525652114,baro,37.6
1.0,0.7231487184788397,0.4005465311874161,baro,37.8
1.0,0.455282415798773,1.790639509494543,gps_range_bearing,38.0
1.0,0.017325321503668174,0.06199321076961439,baro,38.0
1.0,0.35327444648099404,0.27995306270931053,baro,38.2
1.0,0.3364729926760752,0.27322925277428567,baro,38.4
1.0,0.5221441544777209,0.34038289356776374,baro,38.6
1.0,12.945709752790334,1.6949365272253232,baro,38.8
1.0,4.619405041011935,4.6370713442143225,gps_range_bearing,39.0
1.0,8.923255150712976,1.4070480396467389,baro,39.0
1.0,0.0031537892568531322,0.026453449402239926,baro,39.2
1.0,2.4258556224482306,0.7336937846607015,baro,39.4
1.0,2.846543095998454,0.7947955944744507,baro,39.6
1.0,2.4383414225797146,0.7356241548827,baro,39.8
1.0,2.5421404251586286,3.9354054272904317,gps_range_bearing,40.0
1.0,0.0005475725551151343,0.011022517762185657,baro,40.0
1.0,1.2887935885820432,0.5347679186177743,baro,40.2
1.0,2.085656193712171,0.6803099053778396,baro,40.4
1.0,0.0005121442026317704,0.01066084294613745,baro,40.6
1.0,0.5037197569038191,0.33434760948959763,baro,40.8
1.0,4.541804491140923,2.4221581062161577,gps_range_bearing,41.0
1.0,0.06250706011250282,0.11776496305277817,baro,41.0
1.0,0.2502894988713107,0.23565869369191716,baro,41.2
1.0,0.01945635398807062,0.06570552533091245,baro,41.4
1.0,8.535525447751699,1.376238920010607,baro,41.6
1.0,1.2925567621319372,0.5355619315783002,baro,41.8
1.0,1.0218201345278435,1.9543041525924971,gps_range_bearing,42.0
1.0,3.5757485311371133,0.8906651942615014,baro,42.0
1.0,0.16334490771576887,0.19036749369068673,baro,42.2
1.0,0.9216421383163772,0.45219818791250077,baro,42.4
1.0,0.5023099067305563,0.333841213077946,baro,42.6
1.0,0.38152063633660144,0.29095000125852266,baro,42.8
0.0,483.99369509396905,48.481397452058545,gps_range_bearing,43.0
1.0,7.680057765302717,1.3054065653961402,baro,43.0
1.0,0.37209124697284107,0.2873369641737469,baro,43.2
1.0,1.86732640543306,0.6436936383125698,baro,43.4
1.0,0.4177219224274307,0.30444878161364386,baro,43.6
1.0,0.5298107993811566,0.3428718081672315,baro,43.8
1.0,2.0688326375322315,0.8641059419669213,gps_range_bearing,44.0
1.0,0.06521744604790235,0.12028034295474299,baro,44.0
1.0,3.926338894643583,0.9332787337652491,baro,44.2
1.0,1.0034078611904467,0.47180237615503984,baro,44.4
1.0,12.51938666790994,1.6665411100543537,baro,44.6
1.0,0.2558182964047003,0.23822795653406104,baro,44.8
1.0,0.7814381660377434,2.2306795237655557,gps_range_bearing,45.0
1.0,8.69870195984696,1.3889846710247582,baro,45.0
1.0,1.8105562705737666,0.6336983442424469,baro,45.2
1.0,0.04375704875158358,0.09851584012091053,baro,45.4
1.0,0.3284109131042535,0.26989543812860006,baro,45.6
1.0,0.31299328396137366,0.2634864048682033,baro,45.8
1.0,0.2139570700531489,1.2196689219888028,gps_range_bearing,46.0
1.0,0.10966807719558433,0.15594656199601786,baro,46.0
1.0,3.078932790023526,0.826310973857332,baro,46.2
1.0,0.12064891233368161,0.16357312612043984,baro,46.4
1.0,1.9698172165524814,0.6609508857415989,baro,46.6
1.0,1.477512483142167,0.5724360348961852,baro,46.8
1.0,0.6189256219359942,1.6177123210101105,gps_range_bearing,47.0
1.0,0.9201977998685337,0.451698118102172,baro,47.0
