baro_valid,baro_z,gps_valid,gps_x,gps_y,gps_z,imu_ax,imu_ay,imu_az,time_s
1.0,130.81049092871325,0.0,nan,nan,nan,-0.08585246459439753,-0.39763517151144645,-0.2539741934745565,15.6
0.0,nan,0.0,nan,nan,nan,-0.02407026561911644,-0.3768418679047722,-0.15295299024867864,15.65
0.0,nan,0.0,nan,nan,nan,0.0074904016412768795,-0.32968211410678977,-0.228012780160262,15.7
0.0,nan,0.0,nan,nan,nan,-0.035128464164627116,-0.2907647112634416,-0.27258477085676047,15.75
1.0,130.8734298288986,0.0,nan,nan,nan,0.05914424662865218,-0.34291545470754436,-0.1730259435709903,15.8
0.0,nan,0.0,nan,nan,nan,-0.007079087906423427,-0.46282578354196197,-0.27693494076840214,15.85
0.0,nan,0.0,nan,nan,nan,0.05102822681528019,-0.3950841165002449,-0.2637544001960602,15.9
0.0,nan,0.0,nan,nan,nan,-0.12197694361971176,-0.37085726179328704,-0.1827958824354309,15.95
1.0,129.00335770716578,1.0,338.799806918239,47.86825457866061,126.55116924186855,-0.04468849710043374,-0.34435325057091254,-0.1999777857861117,16.0
0.0,nan,0.0,nan,nan,nan,-0.09702712959283624,-0.30451514014892506,-0.17958787462627024,16.05
0.0,nan,0.0,nan,nan,nan,-0.06055824570360467,-0.33844071911037593,-0.21681289766569042,16.1
0.0,nan,0.0,nan,nan,nan,0.007288871848276535,-0.41220427596907083,-0.29691482961854476,16.15
1.0,130.88998617911543,0.0,nan,nan,nan,-0.02429276615288889,-0.33894417998247983,-0.2514731581466808,16.2
0.0,nan,0.0,nan,nan,nan,-0.05725724745042947,-0.379703787301147,-0.15720662529482593,16.25
0.0,nan,0.0,nan,nan,nan,-0.0805099716866369,-0.41585654953666185,-0.23904892292884083,16.3
0.0,nan,0.0,nan,nan,nan,-0.09227518995553938,-0.4092131450077598,-0.2253206522650472,16.35
1.0,130.0040510901175,0.0,nan,nan,nan,-0.08551359581329405,-0.3871251217884136,-0.25195181146341405,16.4
0.0,nan,0.0,nan,nan,nan,-0.11044961875748552,-0.3573002954313602,-0.2177492292849737,16.45
0.0,nan,0.0,nan,nan,nan,-0.07564202043464477,-0.3097438814293952,-0.18793492745183973,16.5
0.0,nan,0.0,nan,nan,nan,-0.14368316894212724,-0.3186620487857332,-0.19740841062583275,16.55
1.0,130.6272167268732,0.0,nan,nan,nan,-0.06062256984454253,-0.29179627840499417,-0.17836055677787932,16.6
0.0,nan,0.0,nan,nan,nan,-0.06195486668796653,-0.3375930283918327,-0.17346051092932813,16.65
0.0,nan,0.0,nan,nan,nan,-0.0840220951651262,-0.394110868884116,-0.234070283944208,16.7
0.0,nan,0.0,nan,nan,nan,-0.09717589953153716,-0.4188364142306009,-0.18362326671407037,16.75
1.0,130.719161419608,0.0,nan,nan,nan,-0.1481206250838065,-0.37303776945644135,-0.22529449111294425,16.8
0.0,nan,0.0,nan,nan,nan,-0.14839671868150578,-0.3950779141622656,-0.2302100228824322,16.85
0.0,nan,0.0,nan,nan,nan,-0.01617365522382297,-0.3317001250739952,-0.20003049153026126,16.9
0.0,nan,0.0,nan,nan,nan,-0.11350477681484755,-0.39706933201827926,-0.15351106323269637,16.95
1.0,129.05453823855083,1.0,362.99769217642455,49.535797754026575,127.93988818706806,-0.08511306790493972,-0.4406270543094282,-0.228479737002818,17.0
0.0,nan,0.0,nan,nan,nan,-0.10800496376274454,-0.3980779636072672,-0.10376316110094039,17.05
0.0,nan,0.0,nan,nan,nan,-0.18453940562728677,-0.3859902830149088,-0.3216057529086229,17.1
0.0,nan,0.0,nan,nan,nan,-0.16895989943399164,-0.4309617578754263,-0.24146135728994841,17.15
1.0,132.1841101634703,0.0,nan,nan,nan,-0.1631719777145606,-0.39167744514923963,-0.1875861689945613,17.2
0.0,nan,0.0,nan,nan,nan,-0.09384044112636221,-0.4341849358133809,-0.1817640320355508,17.25
0.0,nan,0.0,nan,nan,nan,-0.17227901302155613,-0.37820921360614385,-0.16673519041176837,17.3
0.0,nan,0.0,nan,nan,nan,-0.2658835309949682,-0.3416510326763793,-0.12014069388776455,17.35
1.0,130.52145747440696,0.0,nan,nan,nan,-0.17645454384923198,-0.3782705677029316,-0.21218974298931964,17.4
0.0,nan,0.0,nan,nan,nan,-0.14128768413374582,-0.40742658462710324,-0.14892742421042665,17.45
0.0,nan,0.0,nan,nan,nan,-0.11142033987694501,-0.3411879496228678,-0.23899982190048938,17.5
0.0,nan,0.0,nan,nan,nan,-0.17801008366653026,-0.3420095642975037,-0.12118059531535484,17.55
1.0,131.4769031194783,0.0,nan,nan,nan,-0.18194919147651145,-0.28556980991425046,-0.1728757707301138,17.6
0.0,nan,0.0,nan,nan,nan,-0.19847123615256762,-0.3690105541808972,-0.1462380246763653,17.65
0.0,nan,0.0,nan,nan,nan,-0.19325593917797018,-0.3289019400120026,-0.19632819077751662,17.7
0.0,nan,0.0,nan,nan,nan,-0.17634535869749596,-0.3926879592186265,-0.17268581474860945,17.75
1.0,129.6749166032598,0.0,nan,nan,nan,-0.15960984207687945,-0.422106588324666,-0.17729074795115649,17.8
0.0,nan,0.0,nan,nan,nan,-0.1795037140053964,-0.33941527032253344,-0.12457953290234025,17.85
